id,suite,confidence,answer,source
L3-Q-EASY-001,EASY,exact,"42,900 บาท",dim_product.msrp_thb NT-LT-001
L3-Q-EASY-002,EASY,exact,767 รายการ,fact_vendor_payment: month(posting)<>month(event)
L3-Q-EASY-003,EASY,exact,"VeloShip (V-006) รายเดียว = 100% (23,182/23,182)",fact_shipping⋈dim_vendor
L3-Q-EASY-004,EASY,exact,EMP-L3-00010 (May Support); 730 ครั้ง,fact_cs_interaction group by employee_id
L3-Q-EASY-005,EASY,exact,"2 ราย: V-001 (NovaTech), V-002 (NovaTech Service)",dim_vendor.is_partner_brand=true
L3-Q-EASY-006,EASY,exact,"BKK-SIAM; 18,084 transactions; net 1,039,386,349 บาท",v_sales group by branch (2024-25)
L3-Q-EASY-007,EASY,exact,"platinum 7,500 / gold 7,500 / silver 7,200 / none 7,800",dim_customer group by loyalty_tier
L3-Q-EASY-008,EASY,exact,11 แห่ง,count(dim_branch)
L3-Q-EASY-009,EASY,defend,Naret Vision (EMP-L3-00013) — Incoming CEO รับตำแหน่งหลัง transition 2025-01-15 = CEO ปัจจุบัน,dim_employee is_canon_leader
L3-Q-EASY-010,EASY,exact,24 เดือน,dim_product.warranty_months AW-MN-001
L3-Q-EASY-011,EASY,exact,"2025-02-15 (refund_signing_authority_ladder, policy_version_id=6)",dim_policy_version
L3-Q-EASY-012,EASY,exact,"38,900 บาท",dim_product.msrp_thb SF-Galaxy-Pro-2568
L3-Q-EASY-013,EASY,exact,6 ราย,count(dim_vendor)
L3-Q-EASY-014,EASY,exact,"BKK-SIAM; 18,084 รายการ",v_sales group by branch (all-time)
L3-Q-EASY-015,EASY,exact,600 คน,count(dim_employee)
L3-Q-EASY-016,EASY,exact,14 วัน,policy return_window_days as-of 2024-12-15
L3-Q-EASY-017,EASY,exact,300 ราย,dim_customer customer_type='B2B'
L3-Q-EASY-018,EASY,exact,0.01 แต้ม/บาท,policy point_earning_rate_per_thb < 2025-04-01
L3-Q-EASY-019,EASY,exact,0.0125 แต้ม/บาท,policy point_earning_rate_per_thb >= 2025-04-01
L3-Q-EASY-020,EASY,exact,"VeloShip (V-006); 23,182 รายการ",fact_shipping group by vendor
L3-Q-EASY-021,EASY,exact,"7,500 ราย",dim_customer loyalty_tier='gold'
L3-Q-EASY-022,EASY,exact,platinum,dim_customer distinct loyalty_tier
L3-Q-EASY-023,EASY,exact,14 บัญชี,count(dim_bank_account)
L3-Q-EASY-024,EASY,exact,"5,000 บาท; policy_version_id=12",policy refund_threshold_thb as-of 2025-04-01
L3-Q-EASY-025,EASY,exact,7 แคมเปญ,count(dim_promo_campaign)
L3-Q-MED-001,MED,exact,"2024: SKU-MASS-063 (1,508 ชิ้น); 2025: SF-Galaxy-Pro-2568 (4,370 ชิ้น)",v_sales_items sum(qty) by yr/sku
L3-Q-MED-002,MED,exact,"18,906,765 บาท; 2025-07-15; OPER-REMOTE; source = ยอดขายออนไลน์วันเปิดตัว SF-Galaxy-Pro (credit_card batch)",v_bank_txn max credit
L3-Q-MED-003,MED,exact,"CUST-L3-023922; earned 15,738 แต้ม; tier ปัจจุบัน platinum",fact_loyalty_ledger earned ⋈ dim_customer B2C
L3-Q-MED-004,MED,exact,CUST-L3-B2B-020600; ช้า 14 วัน (recv 2025-12-31 vs due 2025-12-17); NET-60,v_sales B2B 2025 latest received
L3-Q-MED-005,MED,exact,SKU-MASS-048; 11 stockout events; กระทบ 10 สาขา,v_inventory_snapshot 2025 closing_units=0
L3-Q-MED-006,MED,exact,"2567: 267 / 1,308,360 บาท; 2568: 442 / 2,868,084 บาท",fact_promo_redemption MEGA-1111-*
L3-Q-MED-007,MED,exact,"TXN-202411-03026757; BKK-EMSP; 320,300 บาท",v_sales max basket is_b2b=false
L3-Q-MED-008,MED,exact,"1)002600 7,548,210 2)021100 7,405,700 3)019600 6,817,740 4)026300 6,774,900 5)003500 6,758,870 (CUST-L3-B2B-)",v_sales B2B 2024 top5 net
L3-Q-MED-009,MED,exact,14 วัน,policy return_window_days as-of 2025-02-15
L3-Q-MED-010,MED,exact,"5,000 บาท; policy_version_id=12",policy refund_threshold_thb as-of 2025-03-20
L3-Q-MED-011,MED,exact,รวม 74 รายการ; ทั้งหมด customer_change_of_mind (74),fact_return 2025-12-25..31
L3-Q-MED-012,MED,exact,"OPER-BKK-SIAM; 579,680,857 บาท",v_bank_txn credit excl KBANK-OPER
L3-Q-MED-013,MED,exact,"1)DN-LT-010 228,465,900 (Dawn) 2)SF-Galaxy-Pro-2568 169,993,000 (SaiFah) 3)SKU-MASS-019 159,538,600 (FahMai)",fact_sales_line_item sum(line_total)⋈dim_product
L3-Q-MED-014,MED,exact,"offline 58,040.03 บาท; online(REMOTE) 37,993.83 บาท",v_sales avg basket before 2025-07-15
L3-Q-MED-015,MED,exact,3 transitions: normal(2024-01-01) → active(2025-09-10) → completed(2025-10-15),dim_product_recall_history NT-LT-001
L3-Q-MED-016,MED,exact,สูงสุด HKT-FEST 6.83%; ต่ำสุด REMOTE 3.88% (retail-only ต่ำสุด KKC-CTRL 4.97%),returns/sales per branch 2025
L3-Q-MED-017,MED,exact,"TXN-202509-14028900; 254,700 บาท; 3 เครื่อง",fact_sales_line_item DN-LT-010 group by txn
