id,suite,category,question,our_answer,auto_score,auto_detail,ground_truth,source,method,tables,trap_note,human_verdict,human_note
L3-Q-EASY-001,EASY,Direct lookup / policy,MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) เป็นเท่าไหร่ครับ,"ราคา MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) คือ 42,900.00 บาท",PASS,1/1 key values,"42,900 บาท",dim_product.msrp_thb NT-LT-001,SELECT msrp_thb WHERE sku_id='NT-LT-001',dim_product,,,
L3-Q-EASY-002,EASY,Data-quality / anomaly / dedupe / bitemporal,ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment กี่รายการที่เดือนของ posting_date ไม่ตรงกับเดือนของ business_event_date ครับ (นับเป็นจำนวนแถว โดยถือว่าต่างกันก็ต่อเมื่อ ปี-เดือน ของสองคอลัมน์นี้ไม่ตรงกัน),ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment ทั้งหมด 767 รายการที่เดือนและปีของ posting_date ไม่ตรงกับเดือนและปีของ business_event_date,PASS,1/1 key values,767 รายการ,fact_vendor_payment: month(posting)<>month(event),"COUNT(*) WHERE date_trunc('month',posting_date)<>date_trunc('month',business_event_date)",fact_vendor_payment,bitemporal: month-of posting vs event,,
L3-Q-EASY-003,EASY,Multi-table join + enrich,ในตาราง FACT_SHIPPING รายการขนส่งทั้งหมดของ FahMai ถูกจัดการโดย vendor รายใดบ้าง ขอชื่อ vendor (ชื่อบริษัทขนส่ง) และส่วนแบ่งของ vendor นั้นเทียบกับจำนวนรายการขนส่งทั้งหมด (เป็นเปอร์เซ็นต์) ครับ,"รายการขนส่งทั้งหมดของ FahMai ในตาราง FACT_SHIPPING ถูกจัดการโดย vendor ดังนี้: 1. VeloShip: ส่วนแบ่ง 100% (จำนวน 23,182 รายการ จากทั้งหมด 23,182 รายการ)",PASS,2/3 key values,"VeloShip (V-006) รายเดียว = 100% (23,182/23,182)",fact_shipping⋈dim_vendor,"group by vendor_id, count; join dim_vendor for name; % share of total shipments","fact_shipping,dim_vendor",,,
L3-Q-EASY-004,EASY,Basic compute (count/sum/group/top-k),ในตาราง FACT_CS_INTERACTION พนักงาน CS คนไหน (employee_id) ที่มีจำนวน interaction บันทึกไว้มากที่สุดครับ และมีทั้งหมดกี่ครั้ง,พนักงาน CS ที่มีจำนวน interaction บันทึกไว้มากที่สุดคือ `EMP-L3-00010` โดยมีจำนวนการโต้ตอบทั้งหมด 730 ครั้ง,PASS,3/3 key values,EMP-L3-00010 (May Support); 730 ครั้ง,fact_cs_interaction group by employee_id,"group by employee_id, count, ORDER BY desc LIMIT 1",fact_cs_interaction,,,
L3-Q-EASY-005,EASY,Direct lookup / policy,FahMai มี vendor ที่เป็น partner brand (พาร์ทเนอร์แบรนด์สินค้า) ทั้งหมดกี่ราย และ vendor_id ของแต่ละรายคืออะไรบ้างครับ,FahMai มี vendor ที่เป็น partner brand ทั้งหมด 2 ราย โดยมี vendor_id ดังนี้: 1. V-001 (NovaTech) 2. V-002 (NovaTech Service),PASS,2/2 key values,"2 ราย: V-001 (NovaTech), V-002 (NovaTech Service)",dim_vendor.is_partner_brand=true,SELECT vendor_id WHERE is_partner_brand=true (count + list),dim_vendor,,,
L3-Q-EASY-006,EASY,Basic compute (count/sum/group/top-k),ในปี 2024-2025 สาขาไหนของฟ้าใหม่ที่มีจำนวน transaction การขายมากที่สุด และยอดรายได้รวม (net_total_thb) ของสาขานั้นเป็นเท่าไหร่ครับ,"ในปี 2024-2025 สาขาของฟ้าใหม่ที่มีจำนวน transaction การขายมากที่สุดคือ สาขา FahMai Siam (รหัสสาขา: BKK-SIAM) โดยมีจำนวนรายการขายทั้งหมด 18,084 รายการ และมียอดรายได้รวม (net_total_thb) เท่ากับ 1,039,386,349.00 บาท",PASS,3/3 key values,"BKK-SIAM; 18,084 transactions; net 1,039,386,349 บาท",v_sales group by branch (2024-25),"2024-2025 group by branch: count(txn) + sum(net_total_thb), top-1",v_sales,,,
L3-Q-EASY-007,EASY,Basic compute (count/sum/group/top-k),ในฐานข้อมูลลูกค้าของฟ้าใหม่ มีลูกค้าทั้งหมดกี่รายในแต่ละ loyalty_tier ครับ ขอจำนวนแยกตามแต่ละ tier ที่ปรากฏใน DIM_CUSTOMER,"จำนวนลูกค้าในแต่ละระดับสมาชิก (loyalty_tier) จากตาราง DIM_CUSTOMER มีดังนี้ครับ: 1. none: 7,800 ราย 2. gold: 7,500 ราย 3. platinum: 7,500 ราย 4. silver: 7,200 ราย",PASS,3/3 key values,"platinum 7,500 / gold 7,500 / silver 7,200 / none 7,800",dim_customer group by loyalty_tier,"group by loyalty_tier, count",dim_customer,,,
L3-Q-EASY-008,EASY,Direct lookup / policy,FahMai มีสาขา/สถานที่ทั้งหมดกี่แห่งในไดเรกทอรี DIM_BRANCH ครับ (นับทุกประเภท ทั้งสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote),FahMai มีสาขา/สถานที่ทั้งหมด 11 แห่งในไดเรกทอรี DIM_BRANCH (รวมทุกประเภท ทั้งสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote),PASS,1/1 key values,11 แห่ง,count(dim_branch),COUNT(*) (all branch types),dim_branch,,,
L3-Q-EASY-009,EASY,Direct lookup / policy,ใครเป็น CEO ของ FahMai ณ วันที่ 1 มิถุนายน 2568 (หลังการเปลี่ยนผ่านผู้บริหารเมื่อ 15 มกราคม 2568) ครับ ขอชื่อ-นามสกุลตามที่ระบุไว้ใน DIM_EMPLOYEE,CEO ของ FahMai ณ วันที่ 1 มิถุนายน 2568 คือ Naret Vision,PASS,declined / corrected,Naret Vision (EMP-L3-00013) — Incoming CEO รับตำแหน่งหลัง transition 2025-01-15 = CEO ปัจจุบัน,dim_employee is_canon_leader,"CEO as-of 2025-06-01 -> Naret Vision (incoming CEO, post 2025-01-15 transition)",dim_employee,verify vs INJ; NOT Vichai/Manat,,
L3-Q-EASY-010,EASY,Direct lookup / policy,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุในไดเรกทอรี DIM_PRODUCT คือกี่เดือนครับ,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุในไดเรกทอรี DIM_PRODUCT คือ 24 เดือน,PASS,1/1 key values,24 เดือน,dim_product.warranty_months AW-MN-001,SELECT warranty_months WHERE sku_id='AW-MN-001',dim_product,,,
L3-Q-EASY-011,EASY,Direct lookup / policy,นโยบาย refund signing authority ladder ฉบับล่าสุด (current version) ของฟ้าใหม่ มีผลบังคับใช้ตั้งแต่วันที่เท่าไหร่ครับ,นโยบาย refund signing authority ladder ฉบับล่าสุดของฟ้าใหม่ มีผลบังคับใช้ตั้งแต่วันที่ 2025-02-15,PASS,1/1 key values,"2025-02-15 (refund_signing_authority_ladder, policy_version_id=6)",dim_policy_version,latest signing_authority ladder: max effective_date of current version,dim_policy_version,,,
L3-Q-EASY-012,EASY,Direct lookup / policy,MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) เป็นเท่าไหร่ครับ,"ราคา MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) คือ 38,900.00 บาท",PASS,1/1 key values,"38,900 บาท",dim_product.msrp_thb SF-Galaxy-Pro-2568,SELECT msrp_thb WHERE sku_id='SF-Galaxy-Pro-2568',dim_product,,,
L3-Q-EASY-013,EASY,Direct lookup / policy,FahMai มี vendor (คู่ค้า/ซัพพลายเออร์) ทั้งหมดกี่รายในไดเรกทอรี DIM_VENDOR ครับ (นับทุกรายในตาราง รวมทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว),FahMai มี vendor ทั้งหมด 6 รายในไดเรกทอรี DIM_VENDOR (รวมทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว),REVIEW,no extractable key,6 ราย,count(dim_vendor),COUNT(*) (active + terminated),dim_vendor,,,
L3-Q-EASY-014,EASY,Basic compute (count/sum/group/top-k),สาขาไหนของฟ้าใหม่ที่มีจำนวนรายการขาย (transactions) ตลอดประวัติศาสตร์มากที่สุดครับ และมีกี่รายการ,"สาขาของฟ้าใหม่ที่มีจำนวนรายการขายมากที่สุดตลอดประวัติศาสตร์คือ สาขา FahMai Siam โดยมีจำนวนรายการขายทั้งหมด 18,084 รายการ",REVIEW,1/2 key values,"BKK-SIAM; 18,084 รายการ",v_sales group by branch (all-time),"group by branch, count txn all-time, top-1 + count",fact_sales,,,
L3-Q-EASY-015,EASY,Direct lookup / policy,FahMai มีพนักงานทั้งหมดกี่คนในไดเรกทอรี DIM_EMPLOYEE ครับ (นับทุกแถวในตาราง รวมทุกสายงาน ทุกระดับ และทุกสาขา),FahMai มีพนักงานทั้งหมด 600 คนในไดเรกทอรี DIM_EMPLOYEE,PASS,1/1 key values,600 คน,count(dim_employee),COUNT(*),dim_employee,,,
L3-Q-EASY-016,EASY,Direct lookup / policy,ในวันที่ 15 ธันวาคม 2024 ลูกค้าสามารถคืนสินค้าได้ภายในกี่วันตามนโยบายของฟ้าใหม่ที่มีผลบังคับใช้ ณ วันนั้นครับ,ในวันที่ 15 ธันวาคม 2024 ลูกค้าสามารถคืนสินค้าได้ภายใน 14 วัน ตามนโยบายของฟ้าใหม่ที่มีผลบังคับใช้ ณ วันนั้นครับ,PASS,1/1 key values,14 วัน,policy return_window_days as-of 2024-12-15,return_window as-of 2024-12-15 (effective_date<=D AND (end_date IS NULL OR end_date>D)),dim_policy_version,,,
L3-Q-EASY-017,EASY,Direct lookup / policy,ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมดกี่รายใน DIM_CUSTOMER ครับ,ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมด 300 รายใน DIM_CUSTOMER ครับ,PASS,1/1 key values,300 ราย,dim_customer customer_type='B2B',COUNT(*) WHERE customer_type='B2B',dim_customer,,,
L3-Q-EASY-018,EASY,Direct lookup / policy,อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 มีค่าเท่าไหร่ครับ,อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 คือ 0.0100 คะแนนต่อบาท,FAIL,0/1 key values,0.01 แต้ม/บาท,policy point_earning_rate_per_thb < 2025-04-01,point_earning_rate_per_thb effective BEFORE 2025-04-01,dim_policy_version,,,
